형태소,품사,분류,카운트
90년,Number,1,1
:,Punctuation,6,2
:,Punctuation,7,2
:,Punctuation,8,3
:,Punctuation,10,2
;,Punctuation,1,1
;,Punctuation,4,1
;,Punctuation,6,2
;,Punctuation,8,4
;,Punctuation,9,1
;,Punctuation,10,5
;;,Punctuation,1,3
;;,Punctuation,2,1
;;,Punctuation,4,2
;;,Punctuation,6,1
;;,Punctuation,7,2
;;,Punctuation,8,2
;;,Punctuation,10,5
;;;,Punctuation,1,1
;;;,Punctuation,5,1
;;;),Punctuation,10,1
;;;;,Punctuation,4,1
<,Punctuation,9,1
=,Punctuation,1,2
=,Punctuation,10,1
=),Punctuation,8,1
>,Punctuation,9,1
>,Punctuation,10,4
?,Punctuation,1,13
?,Punctuation,2,1
?,Punctuation,3,3
?,Punctuation,4,7
?,Punctuation,5,8
?,Punctuation,6,7
?,Punctuation,7,6
?,Punctuation,8,8
?,Punctuation,9,8
?,Punctuation,10,32
?.,Punctuation,5,1
?..,Punctuation,8,1
?.......,Punctuation,8,1
?;,Punctuation,8,1
??,Punctuation,1,4
??,Punctuation,2,1
??,Punctuation,4,1
??,Punctuation,8,2
??,Punctuation,9,2
??,Punctuation,10,7
??...,Punctuation,1,1
???,Punctuation,1,1
???,Punctuation,7,1
???,Punctuation,10,1
?????,Punctuation,10,1
A,Alpha,8,1
A,Alpha,10,3
B,Alpha,2,1
B,Alpha,7,4
B,Alpha,8,3
B,Alpha,9,1
B,Alpha,10,1
BG,Alpha,10,1
BGM,Alpha,9,1
But,Alpha,7,1
C,Alpha,1,1
C,Alpha,2,1
C,Alpha,4,1
C,Alpha,10,1
CG,Alpha,9,1
CGV,Alpha,9,1
CGV,Alpha,10,1
Crap,Alpha,10,1
Don,Alpha,10,1
GG,Alpha,5,1
Good,Alpha,10,1
HEL,Alpha,1,1
HELL,Alpha,1,1
HELL,Alpha,9,1
HELL,Alpha,10,1
HELLO,Alpha,1,1
HELLO,Alpha,2,1
HELLO,Alpha,8,1
Hell,Alpha,7,1
Hell,Alpha,9,1
Hello,Alpha,7,1
Hello,Alpha,9,2
K,Alpha,9,1
Legen,Alpha,10,1
O,Alpha,10,1
OO,Alpha,1,3
OO,Alpha,5,1
OO,Alpha,6,1
OO,Alpha,9,1
OO,Alpha,10,2
OOO,Alpha,1,2
OST,Alpha,6,1
OST,Alpha,7,1
OST,Alpha,9,2
OST,Alpha,10,4
P,Alpha,10,1
Plot,Alpha,10,1
REC,Alpha,10,2
Rage,Alpha,7,1
SOS,Alpha,1,1
SOS,Alpha,8,1
TOP,Alpha,10,1
TV,Alpha,7,1
Top,Alpha,10,1
Z,Alpha,8,1
Z,Alpha,9,1
Z,Alpha,10,2
ZB,Alpha,10,1
ZomBie,Alpha,10,1
^,Punctuation,9,1
^,Punctuation,10,4
^-^*,Punctuation,10,1
^^,Punctuation,1,1
^^,Punctuation,7,2
^^,Punctuation,8,4
^^,Punctuation,9,4
^^,Punctuation,10,8
^^&,Punctuation,8,1
^^;,Punctuation,5,1
_,Punctuation,10,4
`,Punctuation,5,2
a,Alpha,9,1
b,Alpha,5,1
b,Alpha,6,1
b,Alpha,8,2
b,Alpha,9,1
b,Alpha,10,1
bad,Alpha,7,1
bbb,Alpha,9,1
bgm,Alpha,8,1
bgm,Alpha,10,2
but,Alpha,7,2
cc,Alpha,1,1
dary,Alpha,10,1
dislike,Alpha,10,1
dl,Alpha,7,1
drea,Alpha,10,1
dubi,Alpha,3,1
dvd,Alpha,10,1
for,Alpha,10,1
good,Alpha,7,1
good,Alpha,8,1
good,Alpha,9,1
good,Alpha,10,3
great,Alpha,10,1
hat,Alpha,10,1
if,Alpha,10,1
it,Alpha,10,1
jok,Alpha,1,1
keanu,Alpha,10,1
kg,Alpha,10,1
ksta,Alpha,3,1
normal,Alpha,7,1
not,Alpha,7,1
o,Alpha,7,1
of,Alpha,1,1
of,Alpha,9,1
ost,Alpha,8,2
ost,Alpha,10,7
rage,Alpha,10,1
rec,Alpha,10,2
see,Alpha,10,1
soundtrack,Alpha,10,1
t,Alpha,10,1
time,Alpha,1,1
tv,Alpha,8,1
tv,Alpha,10,1
u,Alpha,10,1
upupupup,Alpha,9,1
vs,Alpha,7,1
vs,Alpha,8,2
wait,Alpha,10,1
waste,Alpha,1,1
x,Alpha,1,1
x,Alpha,10,1
z,Alpha,1,1
z,Alpha,8,3
z,Alpha,9,4
z,Alpha,10,6
zombie,Alpha,10,1
~,Punctuation,1,3
~,Punctuation,3,4
~,Punctuation,4,1
~,Punctuation,5,3
~,Punctuation,6,3
~,Punctuation,7,9
~,Punctuation,8,11
~,Punctuation,9,16
~,Punctuation,10,34
~!,Punctuation,9,2
~!,Punctuation,10,2
~!!,Punctuation,4,1
~!!,Punctuation,8,2
~!!,Punctuation,10,4
~!!!,Punctuation,10,1
~!!!!,Punctuation,9,1
~!!^^,Punctuation,10,1
~!@@,Punctuation,10,1
~!~!~,Punctuation,10,1
~^^,Punctuation,7,1
~~,Punctuation,7,1
~~,Punctuation,8,2
~~,Punctuation,9,5
~~,Punctuation,10,5
~~!!,Punctuation,10,1
~~),Punctuation,7,1
~~~,Punctuation,2,1
~~~,Punctuation,8,1
~~~,Punctuation,9,1
~~~,Punctuation,10,2
~~~~,Punctuation,10,2
…,Punctuation,10,1
←,Foreign,10,1
↓,Foreign,10,1
↓↓,Foreign,1,1
★,Foreign,1,2
★,Foreign,10,2
♬♥♪★,Foreign,10,1
ㄱ,KoreanParticle,1,1
ㄱ,KoreanParticle,10,1
ㄱㄱ,KoreanParticle,10,1
ㄲㅊ,KoreanParticle,7,1
ㄳㄳ,KoreanParticle,1,1
ㄳㄳ,KoreanParticle,10,1
ㄴ,KoreanParticle,1,1
ㄴㄴ,KoreanParticle,10,1
ㄷ,KoreanParticle,8,1
ㄷ,KoreanParticle,10,1
ㄷㄷ,KoreanParticle,6,1
ㄷㄷ,KoreanParticle,9,3
ㄷㄷㄷ,KoreanParticle,1,1
ㄷㄷㄷ,KoreanParticle,7,1
ㄷㄷㄷ,KoreanParticle,10,2
ㄹㅇ,KoreanParticle,9,2
ㄹㅇ,KoreanParticle,10,1
ㅁ,KoreanParticle,1,1
ㅂㅋ,KoreanParticle,1,1
ㅄ,KoreanParticle,1,1
ㅄ,KoreanParticle,10,2
ㅅ,KoreanParticle,2,1
ㅅ,KoreanParticle,9,2
ㅅㅂ,KoreanParticle,5,1
ㅅㅂ,KoreanParticle,7,1
ㅅㅊ,KoreanParticle,1,1
ㅇㅅㅇ,KoreanParticle,10,1
ㅇㅇ,KoreanParticle,10,1
ㅈ,KoreanParticle,10,1
ㅈㄴ,KoreanParticle,1,1
ㅈㄴ,KoreanParticle,4,1
ㅈㅐ,KoreanParticle,10,1
ㅉ,KoreanParticle,3,1
ㅉㅉ,KoreanParticle,1,2
ㅉㅉ,KoreanParticle,3,1
ㅉㅉ,KoreanParticle,10,2
ㅋ,KoreanParticle,1,2
ㅋ,KoreanParticle,5,1
ㅋ,KoreanParticle,7,2
ㅋ,KoreanParticle,8,4
ㅋ,KoreanParticle,9,3
ㅋ,KoreanParticle,10,14
ㅋㄷ,KoreanParticle,5,1
ㅋㅋ,KoreanParticle,1,1
ㅋㅋ,KoreanParticle,2,1
ㅋㅋ,KoreanParticle,6,2
ㅋㅋ,KoreanParticle,7,8
ㅋㅋ,KoreanParticle,8,8
ㅋㅋ,KoreanParticle,9,5
ㅋㅋ,KoreanParticle,10,22
ㅋㅋㅋ,KoreanParticle,1,1
ㅋㅋㅋ,KoreanParticle,6,1
ㅋㅋㅋ,KoreanParticle,7,2
ㅋㅋㅋ,KoreanParticle,8,2
ㅋㅋㅋ,KoreanParticle,9,4
ㅋㅋㅋ,KoreanParticle,10,5
ㅋㅋㅋㅋ,KoreanParticle,6,1
ㅋㅋㅋㅋ,KoreanParticle,7,1
ㅋㅋㅋㅋ,KoreanParticle,8,3
ㅋㅋㅋㅋ,KoreanParticle,9,1
ㅋㅋㅋㅋ,KoreanParticle,10,5
ㅋㅋㅋㅋㅋ,KoreanParticle,10,1
ㅋㅋㅋㅋㅋㅋ,KoreanParticle,1,1
ㅋㅋㅋㅋㅋㅋ,KoreanParticle,8,1
ㅋㅋㅋㅋㅋㅋ,KoreanParticle,10,1
ㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,10,1
ㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,5,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,1,1
ㅎ,KoreanParticle,1,1
ㅎ,KoreanParticle,7,2
ㅎ,KoreanParticle,8,1
ㅎ,KoreanParticle,9,1
ㅎ,KoreanParticle,10,7
ㅎㄷㄷ,KoreanParticle,10,1
ㅎㅎ,KoreanParticle,5,1
ㅎㅎ,KoreanParticle,7,1
ㅎㅎ,KoreanParticle,8,3
ㅎㅎ,KoreanParticle,9,1
ㅎㅎ,KoreanParticle,10,8
ㅎㅎㅎ,KoreanParticle,10,1
ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,KoreanParticle,8,1
ㅏ,KoreanParticle,10,1
ㅗ,KoreanParticle,8,1
ㅗㅗ,KoreanParticle,10,1
ㅗㅜㅑ,KoreanParticle,7,1
ㅜ,KoreanParticle,8,2
ㅜ,KoreanParticle,10,5
ㅜㅜ,KoreanParticle,1,1
ㅜㅜ,KoreanParticle,9,1
ㅜㅜ,KoreanParticle,10,2
ㅠ,KoreanParticle,8,1
ㅠ,KoreanParticle,10,4
ㅠㅠ,KoreanParticle,5,1
ㅠㅠ,KoreanParticle,10,8
ㅠㅠㅋ,KoreanParticle,8,1
ㅡ,KoreanParticle,1,4
ㅡ,KoreanParticle,2,2
ㅡ,KoreanParticle,4,2
ㅡ,KoreanParticle,7,2
ㅡ,KoreanParticle,8,1
ㅡ,KoreanParticle,10,5
ㅡㅡ,KoreanParticle,1,8
ㅡㅡ,KoreanParticle,3,1
ㅡㅡ,KoreanParticle,4,1
ㅡㅡ,KoreanParticle,5,2
ㅡㅡ,KoreanParticle,6,4
ㅡㅡ,KoreanParticle,7,5
ㅡㅡ,KoreanParticle,8,1
ㅡㅡ,KoreanParticle,10,2
人,Foreign,10,1
年,Foreign,10,1
性,Foreign,8,1
日,Foreign,10,1
曰,Foreign,1,1
月,Foreign,10,1
無,Foreign,5,1
無人,Foreign,8,1
甲,Foreign,9,1
秀,Foreign,10,1
가,Josa,1,29
가,Josa,2,5
가,Josa,3,5
가,Josa,4,19
가,Josa,5,18
가,Josa,6,24
가,Josa,7,49
가,Josa,8,61
가,Josa,9,33
가,Josa,10,163
가,Verb,1,2
가,Verb,5,1
가,Verb,7,2
가,Verb,8,3
가,Verb,10,5
가고,Verb,7,1
가기,Noun,6,1
가기전에,Verb,9,1
가까운,Adjective,8,1
가까울지도,Adjective,8,1
가네,Verb,10,1
가눈을,Verb,6,1
가는,Verb,10,2
가는것까진,Verb,7,1
가능하고,Adjective,1,1
가능해서,Adjective,8,1
가다있나,Verb,1,1
가더,Verb,8,1
가더나요,Verb,1,1
가도,Noun,7,1
가득,Noun,1,1
가라,Noun,3,1
가라,Noun,10,1
가량,Foreign,6,1
가르쳐,Verb,9,1
가면,Noun,1,1
가면,Noun,4,1
가버리네,Verb,7,1
가볍게,Adjective,7,1
가볍게,Adjective,10,1
가본,Verb,9,1
가본,Verb,10,7
가서,Verb,6,1
가서,Verb,8,1
가세,Noun,9,1
가슴,Noun,8,1
가슴,Noun,9,1
가안,Noun,5,1
가안,Noun,10,1
가왜,Noun,1,1
가요,Noun,10,1
가입,Noun,9,1
가장,Noun,4,1
가장,Noun,7,7
가장,Noun,8,2
가장,Noun,9,8
가장,Noun,10,26
가져다준,Verb,10,1
가족,Noun,4,1
가족,Noun,7,1
가족,Noun,10,1
가줘야,Verb,10,1
가지,Noun,1,1
가지,Noun,6,1
가지,Noun,7,1
가지,Noun,8,1
가지,Noun,10,3
가지구,Verb,1,1
가진,Verb,7,1
가진,Verb,10,2
가질까,Verb,1,1
가치,Noun,7,1
가치,Noun,8,1
가치,Noun,9,1
가치,Noun,10,2
가치관,Noun,1,1
가히,Adverb,9,1
가히,Adverb,10,1
각본,Noun,2,1
각본,Noun,9,1
각본,Noun,10,1
각성,Noun,10,2
각인,Noun,7,1
각자,Noun,10,1
간,Foreign,10,1
간,Noun,6,1
간,Suffix,6,1
간,Suffix,10,1
간간히,Adverb,9,1
간다,Noun,8,2
간다,Noun,10,3
간단한,Adjective,9,1
간단한,Adjective,10,1
간단히,Adjective,9,1
간만,Noun,1,1
간의,Noun,10,1
간절히,Adjective,10,1
갇힌,Verb,5,1
갈,Verb,6,1
갈,Verb,8,2
갈등,Noun,8,1
갈등,Noun,10,1
갈리는,Verb,10,1
갈수록,Noun,1,2
갈수록,Noun,4,2
갈수록,Noun,5,2
갈수록,Noun,6,3
갈수록,Noun,7,4
갈수록,Noun,8,2
감,Noun,1,1
감,Noun,5,1
감,Noun,6,2
감,Noun,7,5
감,Noun,8,5
감,Noun,9,1
감,Noun,10,12
감각,Noun,10,1
감도,Verb,6,1
감도,Verb,7,1
감도,Verb,10,1
감독,Noun,1,3
감독,Noun,2,1
감독,Noun,4,3
감독,Noun,7,1
감독,Noun,8,3
감독,Noun,9,5
감독,Noun,10,15
감독판,Noun,10,1
감동,Noun,1,1
감동,Noun,5,1
감동,Noun,6,1
감동,Noun,9,1
감동,Noun,10,5
감량,Noun,10,1
감명,Noun,9,1
감상,Noun,1,4
감상,Noun,2,2
감상,Noun,7,1
감상,Noun,10,1
감성,Noun,8,1
감성,Noun,10,2
감수성,Noun,6,1
감안,Noun,7,3
감염,Noun,4,3
감염,Noun,6,1
감염,Noun,8,3
감염,Noun,9,8
감염,Noun,10,11
감은,Verb,7,2
감은대야,Verb,10,1
감이있다,Verb,9,1
감점,Noun,8,1
감정,Noun,5,1
감정,Noun,10,2
감탄,Noun,10,1
감흥,Noun,10,1
감히,Noun,10,3
갑,Noun,9,1
갑,Noun,10,2
갑니다,Verb,9,1
갑니다,Verb,10,3
갑옷,Noun,10,1
갑자기,Noun,1,1
갑자기,Noun,4,1
갑자기,Noun,6,1
갑자기,Noun,7,1
갑자기,Noun,8,4
갑자기,Noun,9,1
갑자기,Noun,10,1
갔는데,Verb,9,1
갔다,Verb,5,1
갔다,Verb,8,1
강,Noun,5,1
강간,Noun,1,2
강력,Noun,10,1
강력한,Adjective,7,1
강렬하게,Adjective,10,1
강렬하고,Adjective,9,1
강추,Noun,10,1
강츄,Noun,10,1
강한,Adjective,1,1
강한,Adjective,8,1
강한,Adjective,9,1
강한,Adjective,10,2
강해지는,Adjective,6,1
강화,Noun,7,1
강화,Noun,10,1
갖게,Verb,4,1
갖고,Verb,8,1
갖춘,Verb,10,1
같,Adjective,4,2
같,Adjective,10,1
같고,Adjective,10,2
같구,Adjective,10,1
같기도,Adjective,2,1
같기도,Adjective,6,1
같네,Adjective,1,1
같네요,Adjective,9,2
같다,Adjective,7,2
같다,Adjective,8,4
같다,Adjective,9,4
같다,Adjective,10,10
같다는,Adjective,4,1
같다는,Adjective,9,1
같단,Adjective,9,1
같던,Adjective,8,2
같븐,Noun,1,1
같습니다,Adjective,8,1
같습니다,Adjective,10,1
같아,Adjective,1,1
같아,Adjective,10,1
같아서,Adjective,4,1
같아서,Adjective,10,1
같아요,Adjective,8,1
같아요,Adjective,9,2
같아요,Adjective,10,1
같았다는,Adjective,4,1
같았음,Adjective,10,1
같으니,Adjective,1,1
같은,Adjective,1,5
같은,Adjective,4,2
같은,Adjective,6,3
같은,Adjective,7,6
같은,Adjective,8,4
같은,Adjective,9,1
같은,Adjective,10,9
같은데,Adjective,1,2
같은데,Adjective,7,1
같은데,Adjective,8,1
같은데,Adjective,9,2
같을,Adjective,8,1
같음,Adjective,6,1
같음,Adjective,8,3
같음,Adjective,9,1
같음,Adjective,10,2
같이,Adverb,1,1
같이,Adverb,9,1
같이,Adverb,10,1
같이,Foreign,2,1
같이,Josa,1,1
같이,Josa,10,2
같지,Adjective,8,1
같지,Adjective,10,1
같지만,Adjective,4,1
같지만,Adjective,8,1
같지만,Adjective,10,1
개,Noun,1,7
개,Noun,5,1
개,Noun,7,2
개,Noun,8,2
개,Noun,9,1
개,Noun,10,6
개꿀잼,Noun,10,1
개꿀잼각,Noun,10,1
개념,Noun,10,1
개는,Verb,10,1
개도,Noun,10,2
개무시,Noun,10,1
개봉,Noun,7,2
개봉,Noun,8,1
개봉,Noun,9,2
개뿜음,Noun,10,1
개성,Noun,1,1
개성,Noun,9,1
개성,Noun,10,1
개연,Noun,1,2
개연,Noun,5,1
개연,Noun,7,1
개웃,Adverb,10,1
개월,Noun,8,2
개월,Noun,10,2
개월후,Noun,8,1
개월후,Noun,10,4
개이득,Noun,6,1
개인,Noun,5,1
개인,Noun,7,2
개인,Noun,8,2
개인,Noun,9,4
개인,Noun,10,11
개입,Noun,8,1
개체,Noun,9,1
개취,Noun,10,1
갠,Noun,7,1
갠,Noun,8,1
갠,Noun,9,1
갠,Noun,10,1
걍,Adverb,1,2
걍,Adverb,4,1
걍,Adverb,10,1
거,Noun,1,7
거,Noun,2,2
거,Noun,4,2
거,Noun,5,1
거,Noun,7,2
거,Noun,8,4
거,Noun,9,7
거,Noun,10,23
거기,Noun,6,2
거기,Noun,7,1
거기,Noun,10,4
거대한,Adjective,2,1
거두,Noun,10,1
거리,Noun,4,1
거리,Noun,6,2
거리,Noun,7,2
거리,Noun,8,1
거리,Noun,9,1
거리,Noun,10,7
거만,Noun,1,1
거만,Noun,9,1
거미숲,Noun,9,1
거슬리다,Verb,8,1
거왜바,Noun,1,1
거왜봄,Noun,1,1
거의,Noun,4,1
거의,Noun,7,1
거의,Noun,9,2
거의,Noun,10,1
거장,Noun,10,2
거지,Noun,8,1
거지,Noun,10,1
거지같은,Adjective,1,1
거참,Noun,5,1
거칠게,Verb,10,1
거칠고,Verb,10,1
걱정,Noun,1,1
걱정,Noun,8,1
건,Noun,7,3
건,Noun,8,1
건,Noun,9,2
건,Noun,10,5
건가,Noun,1,2
건가,Noun,6,1
건가,Noun,8,1
건가,Noun,9,1
건가,Noun,10,1
건너,Noun,1,1
건너,Noun,10,1
건데,Eomi,10,1
건드리는,Verb,10,1
건아,Noun,8,1
건졌음,Verb,10,1
건지,Verb,1,1
건지,Verb,5,2
건지,Verb,7,1
건지,Verb,8,2
건지,Verb,10,2
건질만,Verb,8,1
걷는,Verb,9,1
걷는다,Verb,10,1
걸,Noun,1,1
걸,Noun,2,1
걸,Noun,4,3
걸,Noun,7,2
걸,Noun,8,4
걸,Noun,10,11
걸리는줄,Verb,10,1
걸리면,Verb,8,1
걸린,Verb,7,4
걸린,Verb,9,1
걸린,Verb,10,1
걸어가는,Verb,10,1
걸작,Noun,7,1
걸작,Noun,8,3
걸작,Noun,10,11
걸쳐,Verb,10,1
검색어,Noun,1,1
것,Noun,1,5
것,Noun,2,2
것,Noun,4,2
것,Noun,5,1
것,Noun,6,6
것,Noun,7,11
것,Noun,8,11
것,Noun,9,3
것,Noun,10,25
것임,Noun,10,1
겉멋,Noun,5,1
게,Josa,1,7
게,Josa,2,1
게,Josa,4,3
게,Josa,7,2
게,Josa,8,4
게,Josa,9,5
게,Josa,10,27
게,Noun,1,2
게,Noun,4,1
게,Noun,6,2
게,Noun,7,1
게,Noun,8,2
게,Noun,10,1
게다가,Noun,9,1
게뭐,Noun,4,1
게임,Noun,7,1
게임,Noun,9,1
겟음,Noun,4,1
겠네요,Verb,10,1
겠다,Verb,8,1
겠지,Verb,7,1
겠지만,Verb,10,1
겨우,Noun,10,1
격,Noun,8,1
격,Noun,10,1
격렬하고,Adjective,9,1
격인,Noun,10,1
격투,Noun,7,1
격투,Noun,10,1
겪는,Verb,9,1
결국,Adverb,4,1
결국,Adverb,5,1
결국,Adverb,8,2
결국,Adverb,9,1
결국,Adverb,10,6
결말,Noun,1,2
결말,Noun,4,1
결말,Noun,5,2
결말,Noun,6,2
결말,Noun,7,4
결말,Noun,8,4
결말,Noun,9,4
결말,Noun,10,7
결심,Noun,5,1
결정,Noun,10,1
결혼,Noun,10,1
겹,Noun,8,1
경고,Noun,2,1
경석,Noun,9,1
경우,Noun,7,2
경의,Noun,10,1
경이,Noun,6,1
경찰,Noun,5,1
경찰,Noun,6,1
경찰,Noun,10,1
경향,Noun,6,1
경험,Noun,7,1
계,Suffix,10,1
계기,Noun,10,3
계단,Noun,8,1
계보,Noun,10,1
계속,Noun,3,1
계속,Noun,6,1
계속,Noun,8,4
계속,Noun,9,2
계신듯,Adjective,1,1
고,Josa,1,2
고,Josa,4,1
고,Josa,5,1
고,Josa,6,4
고,Josa,7,6
고,Josa,8,5
고,Josa,9,2
고,Josa,10,17
고,Modifier,10,4
고뇌,Noun,8,1
고독,Noun,8,1
고독,Noun,10,1
고려,Noun,6,1
고르고,Verb,6,1
고르라면,Verb,8,1
고립,Noun,10,1
고민,Noun,9,1
고민,Noun,10,1
고생,Noun,9,1
고서,Noun,10,1
고속도로,Noun,5,1
고어,Noun,1,1
고어,Noun,9,2
고어,Noun,10,4
고요한,Noun,8,1
고요함,Noun,9,1
고자,Noun,1,2
고자,Noun,8,1
고자,Noun,10,1
고전,Noun,7,2
고차원,Noun,9,1
고찰,Noun,8,2
고찰,Noun,9,1
고추,Noun,8,1
고파서,Adjective,1,1
곤란,Noun,10,1
골,Noun,1,1
골라,Verb,6,1
