형태소,품사,분류,카운트
!~!~!~!~!~@~!/!/,Punctuation,10,1
!~~,Punctuation,6,1
!~~,Punctuation,10,1
!~~!,Punctuation,10,1
!~~^^,Punctuation,10,1
!~~~,Punctuation,10,2
!~~~~,Punctuation,9,1
"""",Punctuation,1,26
"""",Punctuation,2,5
"""",Punctuation,3,16
"""",Punctuation,4,16
"""",Punctuation,5,17
"""",Punctuation,6,6
"""",Punctuation,7,19
"""",Punctuation,8,34
"""",Punctuation,9,25
"""",Punctuation,10,53
"""!!!!",Punctuation,10,1
"""""",Punctuation,7,2
"""""",Punctuation,8,2
""",",Punctuation,2,1
""",",Punctuation,7,1
""",",Punctuation,9,1
"""...",Punctuation,2,2
"""?",Punctuation,9,1
"""^^",Punctuation,9,1
"""~!!",Punctuation,10,1
"""~~~",Punctuation,5,1
#,Punctuation,8,1
#,Punctuation,10,3
#.#~~,Punctuation,10,1
#@@@##@@#,Punctuation,10,1
#~~~~,Punctuation,10,1
#개돼지,Hashtag,5,1
#공유,Hashtag,10,1
#딸,Hashtag,5,1
#마동석역시는역시,Hashtag,9,1
#무섭좀비,Hashtag,8,1
#무자식상팔자,Hashtag,5,1
#발암,Hashtag,5,1
#부성애,Hashtag,10,1
#살아있다,Hashtag,10,1
#살아있다보다,Hashtag,9,1
#성공적,Hashtag,10,1
#슬픔,Hashtag,10,1
#잘생김,Hashtag,10,1
#즐거움,Hashtag,10,1
#최고,Hashtag,8,1
%@^!,Punctuation,9,1
&,Punctuation,1,1
&,Punctuation,3,1
&,Punctuation,5,4
&,Punctuation,7,3
&,Punctuation,8,3
&,Punctuation,9,4
&,Punctuation,10,8
&#...,Punctuation,1,1
&#...,Punctuation,5,1
&#...,Punctuation,8,1
&#...,Punctuation,9,1
&...,Punctuation,1,2
&...,Punctuation,10,1
&;&:&:&:&,Punctuation,10,1
',Punctuation,1,45
',Punctuation,2,4
',Punctuation,3,7
',Punctuation,4,12
',Punctuation,5,16
',Punctuation,6,31
',Punctuation,7,58
',Punctuation,8,62
',Punctuation,9,51
',Punctuation,10,105
'!,Punctuation,10,1
'!!,Punctuation,10,1
'!!!,Punctuation,10,1
'',Punctuation,8,1
'',Punctuation,10,1
''!,Punctuation,9,1
''',Punctuation,4,1
'''',Punctuation,8,1
'),Punctuation,10,1
"',",Punctuation,10,1
'-',Punctuation,10,1
'.',Punctuation,10,1
'...,Punctuation,1,1
'...,Punctuation,8,1
'...,Punctuation,9,1
'...,Punctuation,10,2
(,Punctuation,1,46
(,Punctuation,2,4
(,Punctuation,3,13
(,Punctuation,4,12
(,Punctuation,5,27
(,Punctuation,6,18
(,Punctuation,7,29
(,Punctuation,8,65
(,Punctuation,9,42
(,Punctuation,10,92
(**)!!~#,Punctuation,10,1
(...,Punctuation,8,1
(....,Punctuation,6,1
(?),Punctuation,1,1
(?),Punctuation,3,2
(?),Punctuation,4,1
(?),Punctuation,5,4
(?),Punctuation,6,3
(?),Punctuation,7,6
(?),Punctuation,8,9
(?),Punctuation,9,10
(?),Punctuation,10,11
"(?),",Punctuation,10,1
(?).,Punctuation,10,1
(^,Punctuation,10,1
(^^;),Punctuation,10,1
),Punctuation,1,37
),Punctuation,2,2
),Punctuation,3,11
),Punctuation,4,12
),Punctuation,5,20
),Punctuation,6,16
),Punctuation,7,33
),Punctuation,8,53
),Punctuation,9,28
),Punctuation,10,78
)!!!,Punctuation,8,1
")""",Punctuation,9,1
))),Punctuation,10,1
)))),Punctuation,9,1
"),",Punctuation,1,2
"),",Punctuation,2,1
"),",Punctuation,4,1
"),",Punctuation,5,1
"),",Punctuation,6,3
"),",Punctuation,7,1
"),",Punctuation,8,6
"),",Punctuation,9,4
"),",Punctuation,10,4
)-,Punctuation,6,1
).,Punctuation,2,1
).,Punctuation,4,1
).,Punctuation,8,2
).,Punctuation,10,2
)..,Punctuation,1,1
)..,Punctuation,5,1
)..,Punctuation,8,1
)..,Punctuation,9,1
)..,Punctuation,10,1
)...,Punctuation,7,1
)/,Punctuation,10,2
)?,Punctuation,10,1
)~,Punctuation,10,1
*,Punctuation,1,2
*,Punctuation,3,1
*,Punctuation,4,2
*,Punctuation,6,1
*,Punctuation,9,4
**,Punctuation,1,1
**,Punctuation,6,1
**,Punctuation,9,2
**,Punctuation,10,6
***,Punctuation,10,1
****,Punctuation,8,1
****,Punctuation,10,2
*.*,Punctuation,7,1
*.*,Punctuation,9,1
*@^',Punctuation,10,1
*^,Punctuation,9,1
*^^*,Punctuation,8,2
*^^*,Punctuation,9,1
*^^*,Punctuation,10,1
*_*,Punctuation,10,1
+,Punctuation,1,58
+,Punctuation,2,10
+,Punctuation,3,5
+,Punctuation,4,8
+,Punctuation,5,23
+,Punctuation,6,22
+,Punctuation,7,29
+,Punctuation,8,15
+,Punctuation,9,20
+,Punctuation,10,52
+!,Punctuation,9,1
+!!!,Punctuation,10,1
+!@,Punctuation,9,1
+(,Punctuation,5,1
+),Punctuation,9,1
+*~?,Punctuation,10,1
++,Punctuation,10,1
+++,Punctuation,10,1
+^^+,Punctuation,1,1
+_+,Punctuation,8,2
+_+,Punctuation,9,2
+_+,Punctuation,10,3
",",Foreign,6,2
",",Foreign,10,1
",",Punctuation,1,677
",",Punctuation,2,144
",",Punctuation,3,131
",",Punctuation,4,155
",",Punctuation,5,253
",",Punctuation,6,313
",",Punctuation,7,508
",",Punctuation,8,704
",",Punctuation,9,675
",",Punctuation,10,1481
",'",Punctuation,6,1
",,",Punctuation,1,26
",,",Punctuation,2,3
",,",Punctuation,3,10
",,",Punctuation,4,5
",,",Punctuation,5,10
",,",Punctuation,6,13
",,",Punctuation,7,10
",,",Punctuation,8,21
",,",Punctuation,9,19
",,",Punctuation,10,49
",,""",Punctuation,7,1
",,)",Punctuation,10,1
",,,",Punctuation,1,12
",,,",Punctuation,3,5
",,,",Punctuation,4,1
",,,",Punctuation,5,2
",,,",Punctuation,6,2
",,,",Punctuation,7,8
",,,",Punctuation,8,8
",,,",Punctuation,9,13
",,,",Punctuation,10,27
",,,!!",Punctuation,8,1
",,,,",Punctuation,1,2
",,,,",Punctuation,3,1
",,,,",Punctuation,4,1
",,,,",Punctuation,5,1
",,,,",Punctuation,6,4
",,,,",Punctuation,7,3
",,,,",Punctuation,8,4
",,,,",Punctuation,9,5
",,,,",Punctuation,10,6
",,,,.?",Punctuation,10,1
",,,,?",Punctuation,6,1
",,,.",Punctuation,1,1
",,,.,.,.,.,.,.,",Punctuation,10,1
",,,..",Punctuation,5,1
",,,;;",Punctuation,3,1
",,-",Punctuation,8,1
",,.",Punctuation,8,1
",,...",Punctuation,1,1
",,...",Punctuation,9,1
",.",Punctuation,1,2
",.",Punctuation,2,1
",.",Punctuation,4,1
",.",Punctuation,6,1
",.",Punctuation,7,3
",.",Punctuation,8,1
",.",Punctuation,9,1
",.",Punctuation,10,6
",..",Punctuation,1,2
",..",Punctuation,2,1
",..",Punctuation,3,1
",..",Punctuation,5,1
",..",Punctuation,7,1
",..",Punctuation,8,2
",..",Punctuation,9,1
",..",Punctuation,10,5
",..,.",Punctuation,8,1
",...",Punctuation,1,2
",...",Punctuation,6,1
",...",Punctuation,7,2
",...",Punctuation,8,3
",...",Punctuation,9,1
",...",Punctuation,10,5
",...!",Punctuation,10,1
",....",Punctuation,10,2
",?",Punctuation,1,1
",^^",Punctuation,9,1
",~~~",Punctuation,9,1
-,Punctuation,1,23
-,Punctuation,2,1
-,Punctuation,3,4
-,Punctuation,4,8
-,Punctuation,5,7
-,Punctuation,6,7
-,Punctuation,7,18
-,Punctuation,8,33
-,Punctuation,9,29
-,Punctuation,10,24
-!,Punctuation,7,1
-!,Punctuation,9,2
-!!,Punctuation,6,1
-!!,Punctuation,10,3
-!!!,Punctuation,8,1
--,Punctuation,1,2
--,Punctuation,7,1
---,Punctuation,5,1
---,Punctuation,8,1
---,Punctuation,10,1
---!!!,Punctuation,10,1
----,Punctuation,10,1
----''''+~~)/,Punctuation,10,1
----?,Punctuation,6,1
--;,Punctuation,8,1
--;;;,Punctuation,9,1
-.,Punctuation,6,1
-.,Punctuation,10,1
-.-,Punctuation,1,3
-.-,Punctuation,8,1
-.-,Punctuation,9,1
-.-,Punctuation,10,1
-.-;,Punctuation,10,1
-..,Punctuation,10,1
-;;,Punctuation,8,1
->,Punctuation,1,1
->,Punctuation,5,2
->,Punctuation,6,3
->,Punctuation,8,1
->...,Punctuation,8,1
-^^,Punctuation,9,1
-^^,Punctuation,10,1
-_,Punctuation,8,1
-_-,Punctuation,1,1
-_-,Punctuation,2,1
-_-,Punctuation,8,1
-_-,Punctuation,9,2
-_-,Punctuation,10,1
-_-++,Punctuation,7,1
-_-;,Punctuation,5,2
-_-;,Punctuation,6,3
-_-;;,Punctuation,1,2
-_-;;,Punctuation,9,1
-_-;;,Punctuation,10,1
-~||||^^,Punctuation,10,1
-~~^^,Punctuation,9,1
.,Foreign,1,1
.,Foreign,6,1
.,Punctuation,1,2519
.,Punctuation,2,465
.,Punctuation,3,479
.,Punctuation,4,495
.,Punctuation,5,960
.,Punctuation,6,1251
.,Punctuation,7,2053
.,Punctuation,8,3840
.,Punctuation,9,3695
.,Punctuation,10,6942
.!,Punctuation,1,1
.!,Punctuation,4,1
.!,Punctuation,9,3
.!,Punctuation,10,7
.!!,Punctuation,2,1
.!!,Punctuation,7,4
.!!,Punctuation,8,5
.!!,Punctuation,10,8
.!!!,Punctuation,9,2
.!!!,Punctuation,10,4
.!!!!,Punctuation,7,1
.!!!!,Punctuation,10,1
.!.!.!.!.,Punctuation,10,1
.!...,Punctuation,5,1
".""",Punctuation,1,1
".""",Punctuation,8,5
".""",Punctuation,9,2
".""",Punctuation,10,1
.',Punctuation,1,1
.',Punctuation,5,1
.',Punctuation,8,2
.',Punctuation,10,2
.(,Punctuation,2,1
.(,Punctuation,3,1
.(,Punctuation,6,1
.(,Punctuation,7,1
.(,Punctuation,8,2
.(,Punctuation,9,1
.(,Punctuation,10,6
.),Punctuation,3,1
.),Punctuation,5,1
.),Punctuation,6,2
.),Punctuation,7,2
.),Punctuation,8,2
.),Punctuation,9,1
.),Punctuation,10,3
.*^^*,Punctuation,9,1
.+,Punctuation,7,1
".,",Punctuation,1,8
".,",Punctuation,4,1
".,",Punctuation,6,2
".,",Punctuation,7,3
".,",Punctuation,8,2
".,",Punctuation,9,5
".,",Punctuation,10,7
".,,",Punctuation,6,1
".,,",Punctuation,8,1
".,,",Punctuation,9,1
".,,,",Punctuation,6,1
".,,,,",Punctuation,10,1
".,,.",Punctuation,4,1
".,,.,.",Punctuation,5,1
".,.",Punctuation,4,1
".,.",Punctuation,8,2
".,.",Punctuation,9,1
".,.",Punctuation,10,1
".,.,.",Punctuation,6,1
".,.,.,",Punctuation,1,1
".,.,.,",Punctuation,8,1
".,.,.,.",Punctuation,6,1
".,.,.,.,",Punctuation,4,1
".,.,.,.,.",Punctuation,5,1
".,.,.,.,.,..(.(",Punctuation,6,1
".,..",Punctuation,10,1
".,...,....",Punctuation,1,1
".,....",Punctuation,10,1
.-,Punctuation,7,1
.----,Punctuation,4,1
.--;,Punctuation,9,1
..,Punctuation,1,1113
..,Punctuation,2,227
..,Punctuation,3,211
..,Punctuation,4,273
..,Punctuation,5,501
..,Punctuation,6,585
..,Punctuation,7,701
..,Punctuation,8,1181
..,Punctuation,9,1082
..,Punctuation,10,2669
..!,Punctuation,1,2
..!,Punctuation,4,1
..!,Punctuation,6,1
..!,Punctuation,7,3
..!,Punctuation,8,7
..!,Punctuation,9,14
..!,Punctuation,10,26
..!!,Punctuation,6,1
..!!,Punctuation,7,3
..!!,Punctuation,8,1
..!!,Punctuation,9,3
..!!,Punctuation,10,9
..!!!,Punctuation,1,1
..!!!,Punctuation,7,1
..!!!,Punctuation,8,1
..!!!,Punctuation,9,1
..!!!,Punctuation,10,3
..!!!!,Punctuation,8,1
..!!!!,Punctuation,9,1
..!!!!,Punctuation,10,1
..!!.!!,Punctuation,7,1
..!(,Punctuation,10,1
..!.!,Punctuation,9,1
..!.',Punctuation,10,1
..!..,Punctuation,8,1
"..""",Punctuation,2,2
"..""",Punctuation,5,2
"..""",Punctuation,6,1
"..""",Punctuation,9,2
"..""",Punctuation,10,1
..',Punctuation,6,1
..',Punctuation,9,2
..(,Punctuation,1,1
..(,Punctuation,6,2
..(,Punctuation,7,1
..(,Punctuation,8,3
..(,Punctuation,9,2
..(),Punctuation,4,1
..(..),Punctuation,10,1
..),Punctuation,1,3
..),Punctuation,2,1
..),Punctuation,3,1
..),Punctuation,5,2
..),Punctuation,6,1
..),Punctuation,7,1
..),Punctuation,8,2
..),Punctuation,9,2
..),Punctuation,10,2
"..),",Punctuation,5,1
"..),",Punctuation,7,1
"..),",Punctuation,9,1
"..),",Punctuation,10,1
"..,",Punctuation,1,1
"..,",Punctuation,7,1
"..,",Punctuation,8,1
"..,",Punctuation,9,1
"..,",Punctuation,10,3
"..,,",Punctuation,2,1
"..,,,",Punctuation,9,1
"..,,,,",Punctuation,1,1
"..,,.",Punctuation,5,1
"..,,..",Punctuation,1,1
"..,,..,,..,,",Punctuation,1,1
"..,.",Punctuation,8,1
"..,..",Punctuation,3,1
"..,...",Punctuation,1,1
..-_-,Punctuation,10,1
..-_-^,Punctuation,8,1
...,Foreign,9,1
...,Punctuation,1,1421
...,Punctuation,2,259
...,Punctuation,3,268
...,Punctuation,4,308
...,Punctuation,5,555
...,Punctuation,6,591
...,Punctuation,7,847
...,Punctuation,8,1195
...,Punctuation,9,1162
...,Punctuation,10,2491
...!,Punctuation,5,1
...!,Punctuation,7,2
...!,Punctuation,8,2
...!,Punctuation,9,4
...!,Punctuation,10,7
...!!,Punctuation,10,7
...!!!,Punctuation,10,1
...!!!!,Punctuation,9,1
...!!!!,Punctuation,10,2
...!!!..!!,Punctuation,10,1
...!!...,Punctuation,10,1
"...""",Punctuation,2,1
"...""",Punctuation,6,1
"...""",Punctuation,8,1
"...""",Punctuation,10,1
"...""...",Punctuation,1,1
...',Punctuation,9,1
...',Punctuation,10,1
...(,Punctuation,5,1
...(,Punctuation,10,3
...),Punctuation,1,2
...),Punctuation,4,1
...),Punctuation,8,2
...),Punctuation,10,2
...+,Punctuation,4,1
"...,",Punctuation,7,2
"...,",Punctuation,8,1
"...,",Punctuation,10,1
"...,,",Punctuation,10,1
"...,,,.,.,.,;.",Punctuation,9,1
"...,,,..,..,",Punctuation,4,1
"...,,.",Punctuation,10,1
"...,.",Punctuation,10,1
"...,.,..",Punctuation,10,1
"...,..",Punctuation,8,1
....,Punctuation,1,312
....,Punctuation,2,37
....,Punctuation,3,55
....,Punctuation,4,57
....,Punctuation,5,135
....,Punctuation,6,104
....,Punctuation,7,145
....,Punctuation,8,236
....,Punctuation,9,198
....,Punctuation,10,536
....!,Punctuation,1,1
....!,Punctuation,6,1
....!,Punctuation,7,1
....!,Punctuation,8,1
....!,Punctuation,10,6
....!!,Punctuation,8,1
....!!!,Punctuation,9,1
....!!!@@@,Punctuation,10,1
....!....!,Punctuation,10,1
"....""",Punctuation,5,1
"....""",Punctuation,7,1
....(,Punctuation,8,1
....(,Punctuation,10,1
....),Punctuation,1,1
....),Punctuation,7,1
....),Punctuation,10,2
"....,",Punctuation,8,1
"....,",Punctuation,10,2
"....,,,,",Punctuation,6,1
"....,,,,....",Punctuation,6,1
"....,....",Punctuation,1,1
"....,....",Punctuation,9,1
.....,Punctuation,1,10
.....,Punctuation,2,2
.....,Punctuation,3,1
.....,Punctuation,5,2
.....,Punctuation,6,4
.....,Punctuation,7,4
.....,Punctuation,8,6
.....,Punctuation,9,4
.....,Punctuation,10,4
......,Punctuation,1,1
......,Punctuation,2,1
......,Punctuation,5,1
......,Punctuation,6,2
......,Punctuation,7,3
......,Punctuation,9,1
......,Punctuation,10,8
.......,Punctuation,4,1
.......,Punctuation,10,1
....;;;,Punctuation,1,1
....;;;;,Punctuation,1,1
....?,Foreign,9,1
....?,Punctuation,1,1
....?,Punctuation,4,1
....?,Punctuation,5,1
....?,Punctuation,8,1
....?,Punctuation,9,2
....?,Punctuation,10,1
....??,Punctuation,4,1
....??,Punctuation,8,1
....??,Punctuation,10,1
....???,Punctuation,10,1
....????,Punctuation,10,1
....^^,Punctuation,6,1
....^^,Punctuation,8,2
....^^,Punctuation,9,2
....^^,Punctuation,10,2
....^^~,Punctuation,7,1
....~~!!,Punctuation,6,1
....~~~~!,Punctuation,5,1
...:),Punctuation,10,1
...;,Punctuation,1,1
...;,Punctuation,7,1
...;,Punctuation,10,1
...;;,Punctuation,1,1
...;;,Punctuation,5,4
...;;,Punctuation,6,2
...;;,Punctuation,7,1
...;;,Punctuation,8,1
...;;,Punctuation,10,3
...;;;,Punctuation,1,2
...;;;,Punctuation,2,1
...;;;,Punctuation,5,3
...;;;,Punctuation,7,2
...;;;,Punctuation,8,1
...;;;,Punctuation,10,2
...?,Punctuation,1,3
...?,Punctuation,2,2
...?,Punctuation,3,2
...?,Punctuation,5,1
...?,Punctuation,6,1
...?,Punctuation,7,4
...?,Punctuation,8,10
...?,Punctuation,9,4
...?,Punctuation,10,3
...?'?);:,Punctuation,10,1
...?...,Punctuation,10,1
...??,Punctuation,1,1
...??,Punctuation,5,1
...??,Punctuation,10,3
...@@,Punctuation,5,1
...^&^,Punctuation,10,1
...^^,Punctuation,1,1
...^^,Punctuation,5,1
...^^,Punctuation,7,1
...^^,Punctuation,9,4
...^^,Punctuation,10,4
...^^*,Punctuation,10,1
...^^+,Punctuation,10,1
...^^;;,Punctuation,9,1
...^^;;,Punctuation,10,1
...~,Punctuation,10,1
...~~,Punctuation,9,1
../,Punctuation,8,1
..:,Punctuation,7,1
..;,Punctuation,1,1
..;,Punctuation,2,1
..;,Punctuation,3,1
..;,Punctuation,5,1
..;,Punctuation,6,1
..;,Punctuation,8,2
..;;,Punctuation,1,1
..;;,Punctuation,6,1
..;;,Punctuation,8,3
..;;,Punctuation,10,1
..;;;,Punctuation,4,1
..>_<,Punctuation,9,1
..?,Punctuation,1,7
..?,Punctuation,2,1
..?,Punctuation,3,3
..?,Punctuation,4,4
..?,Punctuation,5,3
..?,Punctuation,6,2
..?,Punctuation,7,6
..?,Punctuation,8,16
..?,Punctuation,9,8
..?,Punctuation,10,20
..?!,Punctuation,5,1
..?!,Punctuation,8,1
..?...,Punctuation,10,1
..??,Punctuation,6,1
..??,Punctuation,7,1
..??,Punctuation,8,2
..??,Punctuation,9,2
..??,Punctuation,10,3
..???,Punctuation,10,1
..^&^,Punctuation,8,1
..^^,Punctuation,4,1
..^^,Punctuation,7,2
..^^,Punctuation,8,1
..^^,Punctuation,9,5
..^^,Punctuation,10,10
..^^*,Punctuation,10,1
..^^;;,Punctuation,7,1
..~,Punctuation,10,5
..~^^,Punctuation,8,1
..~~,Punctuation,9,1
..~~,Punctuation,10,1
..~~!,Punctuation,10,1
"..~~,!",Punctuation,10,1
./,Punctuation,7,1
./,Punctuation,8,2
./*--*/,Punctuation,10,1
./...,Punctuation,10,1
.//,Punctuation,8,1
.:,Punctuation,6,1
.;,Punctuation,5,1
.;;,Punctuation,7,1
.?,Punctuation,1,1
.?,Punctuation,3,1
.?,Punctuation,5,1
.?,Punctuation,6,1
.?,Punctuation,8,1
.?,Punctuation,9,2
.??,Punctuation,1,1
.??,Punctuation,9,1
.[,Punctuation,2,1
.],Punctuation,9,1
.^,Punctuation,10,2
.^^,Punctuation,1,1
.^^,Punctuation,3,1
.^^,Punctuation,5,1
.^^,Punctuation,7,3
.^^,Punctuation,8,14
.^^,Punctuation,9,20
.^^,Punctuation,10,20
.^^!!,Punctuation,10,1
.^^*,Punctuation,9,1
.^^~,Punctuation,8,1
.^^~~~,Punctuation,10,1
.^__^,Punctuation,10,1
.https://www.youtube.com/channel/UCRCSDvMjKluJz7ccOyk3Z4Q,URL,10,1
.~,Punctuation,6,1
.~,Punctuation,10,2
.~!!!,Punctuation,10,1
.~.,Punctuation,10,1
.~^,Punctuation,8,1
.~^^,Punctuation,10,1
.~~,Punctuation,1,1
.~~,Punctuation,5,1
.~~,Punctuation,10,3
.~~^^,Punctuation,10,1
.~~~,Punctuation,6,1
.~~~,Punctuation,8,1
.~~~,Punctuation,9,1
.~~~,Punctuation,10,2
.~~~--,Punctuation,9,1
.~~~^^,Punctuation,10,1
.~~~~,Punctuation,9,1
.~~~~,Punctuation,10,1
.~~~~^^,Punctuation,8,1
/,Punctuation,1,19
/,Punctuation,2,3
/,Punctuation,3,2
/,Punctuation,4,2
/,Punctuation,5,6
/,Punctuation,6,5
/,Punctuation,7,8
/,Punctuation,8,31
/,Punctuation,9,5
/,Punctuation,10,31
/...,Punctuation,1,1
/././,Punctuation,10,1
//,Punctuation,1,3
//,Punctuation,4,2
//,Punctuation,8,4
//,Punctuation,9,2
//,Punctuation,10,3
///,Punctuation,7,1
///,Punctuation,9,2
///,Punctuation,10,1
////,Punctuation,6,1
////,Punctuation,8,1
////,Punctuation,10,1
////...,Punctuation,9,1
/^,Punctuation,10,1
0,Number,1,56
0,Number,2,1
0,Number,3,1
0,Number,4,1
0,Number,8,2
0,Number,9,1
0,Number,10,9
0.01초,Number,10,1
0.1초,Number,1,1
0.2초,Number,10,1
0.3,Number,9,1
0.5,Number,1,2
0.5,Number,8,2
0.5,Number,9,5
000,Number,10,1
007,Number,1,1
01,Number,9,1
01,Number,10,1
0101010,Number,9,1
0123456789,Number,10,1
07/23,Number,10,1
0~1,Number,1,1
1,Number,1,303
1,Number,2,42
1,Number,3,22
1,Number,4,21
1,Number,5,24
1,Number,6,21
1,Number,7,30
1,Number,8,75
1,Number,9,84
1,Number,10,162
1%,Number,1,3
1%,Number,6,1
1%,Number,10,2
"1,000만",Number,7,1
"1,200만",Number,6,1
1-2,Number,4,1
1.000만,Number,7,1
1.2,Number,5,1
1.5,Number,5,1
1.5,Number,10,1
1.5%,Number,9,1
1/10,Number,8,1
1/3,Number,8,1
1/3,Number,10,1
1/5,Number,4,1
10,Number,1,81
10,Number,2,5
10,Number,3,8
10,Number,4,9
10,Number,5,21
10,Number,6,24
10,Number,7,41
10,Number,8,87
10,Number,9,90
10,Number,10,345
10%,Number,7,1
10%,Number,8,1
10%,Number,10,1
10.0,Number,10,1
100,Number,1,8
100,Number,3,2
100,Number,4,4
100,Number,5,1
100,Number,6,4
100,Number,7,3
100,Number,8,10
100,Number,9,6
100,Number,10,27
100%,Number,1,3
100%,Number,2,1
100%,Number,8,1
100%,Number,9,2
